country,region,year,value
Aruba,Latin America & Caribbean,1962,66.444
Aruba,Latin America & Caribbean,1963,66.787
Aruba,Latin America & Caribbean,1964,67.113
Aruba,Latin America & Caribbean,1965,67.435
Aruba,Latin America & Caribbean,1966,67.762
Aruba,Latin America & Caribbean,1967,68.095
Aruba,Latin America & Caribbean,1968,68.436
Aruba,Latin America & Caribbean,1969,68.784
Aruba,Latin America & Caribbean,1970,69.14
Aruba,Latin America & Caribbean,1971,69.498
Aruba,Latin America & Caribbean,1972,69.851
Aruba,Latin America & Caribbean,1973,70.191
Aruba,Latin America & Caribbean,1974,70.519
Aruba,Latin America & Caribbean,1975,70.833
Aruba,Latin America & Caribbean,1976,71.14
Aruba,Latin America & Caribbean,1977,71.441
Aruba,Latin America & Caribbean,1978,71.736
Aruba,Latin America & Caribbean,1979,72.023
Aruba,Latin America & Caribbean,1980,72.293
Aruba,Latin America & Caribbean,1981,72.538
Aruba,Latin America & Caribbean,1982,72.751
Aruba,Latin America & Caribbean,1983,72.929
Aruba,Latin America & Caribbean,1984,73.071
Aruba,Latin America & Caribbean,1985,73.181
Aruba,Latin America & Caribbean,1986,73.262
Aruba,Latin America & Caribbean,1987,73.325
Aruba,Latin America & Caribbean,1988,73.378
Aruba,Latin America & Caribbean,1989,73.425
Aruba,Latin America & Caribbean,1990,73.468
Aruba,Latin America & Caribbean,1991,73.509
Aruba,Latin America & Caribbean,1992,73.544
Aruba,Latin America & Caribbean,1993,73.573
Aruba,Latin America & Caribbean,1994,73.598
Aruba,Latin America & Caribbean,1995,73.622
Aruba,Latin America & Caribbean,1996,73.646
Aruba,Latin America & Caribbean,1997,73.671
Aruba,Latin America & Caribbean,1998,73.7
Aruba,Latin America & Caribbean,1999,73.738
Aruba,Latin America & Caribbean,2000,73.787
Aruba,Latin America & Caribbean,2001,73.853
Aruba,Latin America & Caribbean,2002,73.937
Aruba,Latin America & Caribbean,2003,74.038
Aruba,Latin America & Caribbean,2004,74.156
Aruba,Latin America & Caribbean,2005,74.287
Aruba,Latin America & Caribbean,2006,74.429
Aruba,Latin America & Caribbean,2007,74.576
Aruba,Latin America & Caribbean,2008,74.725
Aruba,Latin America & Caribbean,2009,74.872
Aruba,Latin America & Caribbean,2010,75.017
Aruba,Latin America & Caribbean,2011,75.158
Aruba,Latin America & Caribbean,2012,75.299
Aruba,Latin America & Caribbean,2013,75.441
Aruba,Latin America & Caribbean,2014,75.583
Aruba,Latin America & Caribbean,2015,75.725
Aruba,Latin America & Caribbean,2016,75.868
Aruba,Latin America & Caribbean,2017,76.01
Aruba,Latin America & Caribbean,2018,76.152
Argentina,Latin America & Caribbean,1962,65.269
Argentina,Latin America & Caribbean,1963,65.348
Argentina,Latin America & Caribbean,1964,65.426
Argentina,Latin America & Caribbean,1965,65.518
Argentina,Latin America & Caribbean,1966,65.64
Argentina,Latin America & Caribbean,1967,65.796
Argentina,Latin America & Caribbean,1968,65.989
Argentina,Latin America & Caribbean,1969,66.219
Argentina,Latin America & Caribbean,1970,66.483
Argentina,Latin America & Caribbean,1971,66.774
Argentina,Latin America & Caribbean,1972,67.078
Argentina,Latin America & Caribbean,1973,67.383
Argentina,Latin America & Caribbean,1974,67.686
Argentina,Latin America & Caribbean,1975,67.985
Argentina,Latin America & Caribbean,1976,68.283
Argentina,Latin America & Caribbean,1977,68.585
Argentina,Latin America & Caribbean,1978,68.891
Argentina,Latin America & Caribbean,1979,69.197
Argentina,Latin America & Caribbean,1980,69.496
Argentina,Latin America & Caribbean,1981,69.777
Argentina,Latin America & Caribbean,1982,70.033
Argentina,Latin America & Caribbean,1983,70.262
Argentina,Latin America & Caribbean,1984,70.466
Argentina,Latin America & Caribbean,1985,70.65
Argentina,Latin America & Caribbean,1986,70.825
Argentina,Latin America & Caribbean,1987,71.001
Argentina,Latin America & Caribbean,1988,71.186
Argentina,Latin America & Caribbean,1989,71.384
Argentina,Latin America & Caribbean,1990,71.594
Argentina,Latin America & Caribbean,1991,71.813
Argentina,Latin America & Caribbean,1992,72.032
Argentina,Latin America & Caribbean,1993,72.246
Argentina,Latin America & Caribbean,1994,72.453
Argentina,Latin America & Caribbean,1995,72.651
Argentina,Latin America & Caribbean,1996,72.843
Argentina,Latin America & Caribbean,1997,73.029
Argentina,Latin America & Caribbean,1998,73.213
Argentina,Latin America & Caribbean,1999,73.396
Argentina,Latin America & Caribbean,2000,73.576
Argentina,Latin America & Caribbean,2001,73.755
Argentina,Latin America & Caribbean,2002,73.932
Argentina,Latin America & Caribbean,2003,74.107
Argentina,Latin America & Caribbean,2004,74.28
Argentina,Latin America & Caribbean,2005,74.451
Argentina,Latin America & Caribbean,2006,74.62
Argentina,Latin America & Caribbean,2007,74.787
Argentina,Latin America & Caribbean,2008,74.952
Argentina,Latin America & Caribbean,2009,75.116
Argentina,Latin America & Caribbean,2010,75.278
Argentina,Latin America & Caribbean,2011,75.439
Argentina,Latin America & Caribbean,2012,75.598
Argentina,Latin America & Caribbean,2013,75.756
Argentina,Latin America & Caribbean,2014,75.913
Argentina,Latin America & Caribbean,2015,76.068
Argentina,Latin America & Caribbean,2016,76.221
Argentina,Latin America & Caribbean,2017,76.372
Argentina,Latin America & Caribbean,2018,76.52
